Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,symmetric,0.9099999999999999,0.3619136630558528
100% Corpus,2,symmetric,symmetric,0.3499647690627289
100% Corpus,2,asymmetric,0.01,0.37353254852335827
100% Corpus,2,asymmetric,0.31,0.3291750094799848
100% Corpus,2,asymmetric,0.61,0.3812776251395673
100% Corpus,2,asymmetric,0.9099999999999999,0.3993446242353556
100% Corpus,2,asymmetric,symmetric,0.3457597475372268
100% Corpus,3,0.01,0.01,0.4320673741844556
100% Corpus,3,0.01,0.31,0.4217344974461168
100% Corpus,3,0.01,0.61,0.3923092169382558
100% Corpus,3,0.01,0.9099999999999999,0.3923092169382558
100% Corpus,3,0.01,symmetric,0.4217344974461168
100% Corpus,3,0.31,0.01,0.4320673741844556
100% Corpus,3,0.31,0.31,0.41644443775460754
100% Corpus,3,0.31,0.61,0.3796438316880743
100% Corpus,3,0.31,0.9099999999999999,0.368097458545477
100% Corpus,3,0.31,symmetric,0.4164444377546075
100% Corpus,3,0.61,0.01,0.4372614879019506
100% Corpus,3,0.61,0.31,0.41644443775460754
100% Corpus,3,0.61,0.61,0.3751478448874055
100% Corpus,3,0.61,0.9099999999999999,0.37943946574354986
100% Corpus,3,0.61,symmetric,0.4164444377546075
100% Corpus,3,0.9099999999999999,0.01,0.43726148790195074
100% Corpus,3,0.9099999999999999,0.31,0.42163855147210255
100% Corpus,3,0.9099999999999999,0.61,0.406133124023022
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.37514784488740543
100% Corpus,3,0.9099999999999999,symmetric,0.42163855147210255
100% Corpus,3,symmetric,0.01,0.4320673741844556
100% Corpus,3,symmetric,0.31,0.41644443775460754
100% Corpus,3,symmetric,0.61,0.3796438316880743
100% Corpus,3,symmetric,0.9099999999999999,0.368097458545477
100% Corpus,3,symmetric,symmetric,0.41644443775460754
100% Corpus,3,asymmetric,0.01,0.4273836488559754
100% Corpus,3,asymmetric,0.31,0.38809457436900296
100% Corpus,3,asymmetric,0.61,0.3510233450153167
100% Corpus,3,asymmetric,0.9099999999999999,0.3596567504177896
100% Corpus,3,asymmetric,symmetric,0.38809457436900296
100% Corpus,4,0.01,0.01,0.4349602826898679
100% Corpus,4,0.01,0.31,0.4311800254714049
100% Corpus,4,0.01,0.61,0.39625660143253316
100% Corpus,4,0.01,0.9099999999999999,0.39795037306969194
100% Corpus,4,0.01,symmetric,0.40387988666562774
100% Corpus,4,0.31,0.01,0.42677480380623645
100% Corpus,4,0.31,0.31,0.4042438868488066
100% Corpus,4,0.31,0.61,0.43543822139039867
100% Corpus,4,0.31,0.9099999999999999,0.4034928465854635
100% Corpus,4,0.31,symmetric,0.39956271323302517
100% Corpus,4,0.61,0.01,0.42677480380623645
100% Corpus,4,0.61,0.31,0.3961124710892306
100% Corpus,4,0.61,0.61,0.4254696877643712
100% Corpus,4,0.61,0.9099999999999999,0.41365915080159527
100% Corpus,4,0.61,symmetric,0.4043740724400643
100% Corpus,4,0.9099999999999999,0.01,0.42677480380623645
100% Corpus,4,0.9099999999999999,0.31,0.4162780325891831
100% Corpus,4,0.9099999999999999,0.61,0.42664602070154967
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41993591132666463
100% Corpus,4,0.9099999999999999,symmetric,0.43657202781284854
100% Corpus,4,symmetric,0.01,0.42677480380623645
100% Corpus,4,symmetric,0.31,0.4038798866656278
100% Corpus,4,symmetric,0.61,0.4160085217745754
100% Corpus,4,symmetric,0.9099999999999999,0.3886372122339239
100% Corpus,4,symmetric,symmetric,0.39956271323302517
100% Corpus,4,asymmetric,0.01,0.43000532141401004
100% Corpus,4,asymmetric,0.31,0.44180430655619074
100% Corpus,4,asymmetric,0.61,0.4259243904104788
100% Corpus,4,asymmetric,0.9099999999999999,0.37560073727911386
100% Corpus,4,asymmetric,symmetric,0.4211994624246179
100% Corpus,5,0.01,0.01,0.440299449598195
100% Corpus,5,0.01,0.31,0.37837644436255624
100% Corpus,5,0.01,0.61,0.41551447962274246
100% Corpus,5,0.01,0.9099999999999999,0.4049197624514072
100% Corpus,5,0.01,symmetric,0.3944441933827566
100% Corpus,5,0.31,0.01,0.43900126823073415
100% Corpus,5,0.31,0.31,0.3874037201163584
100% Corpus,5,0.31,0.61,0.3918616971707905
100% Corpus,5,0.31,0.9099999999999999,0.42150014079553905
100% Corpus,5,0.31,symmetric,0.4342683001169198
100% Corpus,5,0.61,0.01,0.4212667588223177
100% Corpus,5,0.61,0.31,0.4275758956516881
100% Corpus,5,0.61,0.61,0.3910832468182622
100% Corpus,5,0.61,0.9099999999999999,0.41115692672598847
100% Corpus,5,0.61,symmetric,0.44892730898680827
100% Corpus,5,0.9099999999999999,0.01,0.43692406284618335
100% Corpus,5,0.9099999999999999,0.31,0.42815402675899994
100% Corpus,5,0.9099999999999999,0.61,0.3913990758715377
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4093966125231498
